7 rings,Ariana Grande

Havana (feat. Young Thug),Camila Cabello

Can\'t Hold Us (feat. Ray Dalton),Macklemore & Ryan Lewis

F**K You,CeeLo Green

Firework,Katy Perry

Heathens,Twenty One Pilots

Wow.,Post Malone

Timber (feat. Ke$ha),Pitbull

What Do You Mean?,Justin Bieber

In My Feelings,Drake

Thinking out Loud,Ed Sheeran

Sugar,Maroon 5

Stay With Me,Sam Smith

Fancy,Iggy Azalea

Lucid Dreams,Juice WRLD

California Gurls,Katy Perry

One More Night,Maroon 5

Wake Me Up,Avicii

Watch Me (Whip / Nae Nae),Silentó

CAN\'T STOP THE FEELING! (from DreamWorks Animation\'s TROLLS),Justin Timberlake'

Super Bass,Nicki Minaj

Moves Like Jagger - Studio Recording From The Voice Performance,Maroon 5

Sorry,Justin Bieber

Perfect,Ed Sheeran

I Like It,Cardi B

Uptown Funk (feat. Bruno Mars),Mark Ronson

Roar,Katy Perry

Dark Horse,Katy Perry

We Found Love,Rihanna

Shake It Off,Taylor Swift

Meant to Be (feat. Florida Georgia Line),Bebe Rexha

rockstar (feat. 21 Savage),Post Malone

Love Yourself,Justin Bieber

Cheap Thrills,Sia

Girls Like You - Cardi B Version,Maroon 5

Wrecking Ball,Miley Cyrus

Need You Now,Lady A

All of Me,John Legend

Somebody That I Used To Know,Gotye

One Dance,Drake

Sunflower - Spider-Man: Into the Spider-Verse,Post Malone

TiK ToK,Kesha

Happier,Marshmello

Airplanes (feat. Hayley Williams of Paramore),B.o.B

Just the Way You Are,Bruno Mars

Blurred Lines,Robin Thicke

All About That Bass,Meghan Trainor

E.T.,Katy Perry

Call Me Maybe,Carly Rae Jepsen

Despacito - Remix,Luis Fonsi

Give Me Everything (feat. Ne-Yo, Afrojack & Nayer)

Locked out of Heaven,Bruno Mars

Panda,Desiigner

Happy - From Despicable Me 2,Pharrell Williams'

Hotline Bling,Drake

Love The Way You Lie,Eminem

Dynamite,BTS

OMG (feat. will.i.am),Usher

Old Town Road - Remix,Lil Nas X

Bad Romance,Lady Gaga

thank u, next

Work,Rihanna

Can't Feel My Face,The Weeknd

Grenade,Bruno Mars

SICKO MODE,Travis Scott

Pompeii,Bastille

Some Nights,fun.

Don\'t Let Me Down,The Chainsmokers

Without Me,Eminem

Break Your Heart,Taio Cruz

Cheerleader - Felix Jaehn Remix Radio Edit,OMI

Thrift Shop (feat. Wanz),Macklemore & Ryan Lewis

Ho Hey,The Lumineers

See You Again (feat. Charlie Puth),Wiz Khalifa

Rolling in the Deep,Adele

Payphone,Maroon 5

That's What I Like,Bruno Mars

Royals,Lorde

Sexy And I Know It,LMFAO

Rude,MAGIC!

Closer,The Chainsmokers

Stronger (What Doesn't Kill You),Kelly Clarkson

Sucker,Jonas Brothers
